coordinate,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,GPP_2016,GPP_2017,GPP_2018,GPP_2019,GPP_2020,GPP_2021,GPP_2022,GPP_2023,Land_Cover_2010,Land_Cover_2011,Land_Cover_2012,Land_Cover_2013,Land_Cover_2014,Land_Cover_2015,Land_Cover_2016,Land_Cover_2017,Land_Cover_2018,Land_Cover_2019,Land_Cover_2020,Land_Cover_2021,Land_Cover_2022,Land_Cover_2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.43711794120982), np.float64(16.11999953512351))",1146,581,1502,964,499,1155,1579,355,957,687,1701,844,1563,1066,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,476.22580462605833,0.11486693847522095,0.4874469303575064
"(np.float64(-11.43464880540735), np.float64(16.12395015240746))",1132,589,2122,1038,704,730,1669,637,1213,690,1975,759,1805,1063,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,476.21135286431934,0.1148443378069998,0.482988003621917
"(np.float64(-11.430945101703644), np.float64(17.300616819074126))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,10,16,16,10,10,10,10,10,10,16,16,16,16,16,Hseiy Tin,Boumdeid,656.2730944800348,0.39643738888787955,0.5600292215360905
"(np.float64(-11.428352509111054), np.float64(16.11432052277783))",1149,622,1734,1254,609,1151,1617,489,1214,594,1797,937,1668,1181,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,479.09739985553483,0.119357738435733,0.4906354489370348
"(np.float64(-11.426377200469078), np.float64(16.11493780672845))",1461,424,1855,1071,767,888,1826,692,1091,832,1485,832,2177,1187,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,479.46950727548546,0.11993966585003822,0.4895229741833482
"(np.float64(-11.425513002938214), np.float64(17.320246448703756))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Hseiy Tin,Boumdeid,665.6064937907522,0.41103360663673477,0.5796152943964955
"(np.float64(-11.421932756024633), np.float64(15.988764967222275))",1692,644,2673,1046,766,1254,2063,822,819,774,2483,547,2562,1493,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,502.63834667225353,0.1561727052352876,0.6101405030940698
"(np.float64(-11.417241397999941), np.float64(16.11876496722228))",1409,826,1680,1168,745,1036,1750,726,1083,634,1519,766,2651,1110,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,481.08197855042107,0.12246136036445897,0.4834394046733258
"(np.float64(-11.411685842444387), np.float64(16.119505707963018))",970,582,2287,1274,957,1071,1939,609,865,666,1759,794,2053,1179,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,482.3261489497263,0.12440708040282553,0.48127128543552694
"(np.float64(-11.410204360962904), np.float64(17.29913533759265))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,10,16,16,16,16,16,16,16,Hseiy Tin,Boumdeid,660.3001819849549,0.40273522788079724,0.5699567784093615
"(np.float64(-11.401685842444385), np.float64(16.11765385611117))",1213,412,2182,1288,715,1000,1858,706,833,620,1883,860,2045,1222,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,485.08712629826016,0.12872488844223742,0.4804429620296919
"(np.float64(-11.395019175777719), np.float64(16.229876078333387))",1297,792,1476,880,1072,1375,1540,666,1024,716,1668,606,2233,1345,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,472.4777039575024,0.10900539846374283,0.3703840164564032
"(np.float64(-11.392796953555496), np.float64(17.310987189444496))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,10,10,10,16,16,16,16,16,16,Hseiy Tin,Boumdeid,669.1601611036572,0.4165910782694537,0.5895050903129709
"(np.float64(-11.389463620222163), np.float64(16.846542745000058))",876,383,744,1179,660,795,1015,309,523,588,721,353,2254,763,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Nouamlein,Kiffa,512.6895433500641,0.17189146433492555,0.2100497185183632
"(np.float64(-11.388352509111053), np.float64(16.1209871894445))",867,541,1799,1094,794,1081,1699,526,866,594,1668,854,1631,1071,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,488.00933108827894,0.13329483514674453,0.47373807782021865
"(np.float64(-11.381685842444385), np.float64(17.016542745000052))",1115,731,908,867,695,776,1033,423,671,665,1580,774,2240,1156,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Nouamlein,Kiffa,563.5383941709223,0.2514124270786972,0.35195738850642033
"(np.float64(-11.376747570839447), np.float64(15.98999953512351))",926,1035,2396,1232,800,1113,2009,553,579,627,1524,707,2094,1169,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,514.025947461449,0.17398142585493045,0.5971298193173847
"(np.float64(-11.37390806466661), np.float64(16.926542745000052))",634,573,1725,1424,734,1733,437,494,848,497,1424,467,1389,1054,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Nouamlein,Kiffa,538.4122794661937,0.21211846469654527,0.28273985811569835
"(np.float64(-11.372796953555497), np.float64(17.298764967222276))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,10,16,16,10,10,10,10,10,10,16,16,16,16,16,Nouamlein,Kiffa,668.878596688688,0.416150748291661,0.5911426194361546
"(np.float64(-11.36995744738266), np.float64(16.126295831419807))",1041,561,1746,1304,612,885,1863,576,1330,577,1581,663,1670,1145,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,492.12573738440364,0.13973235706568796,0.46380265909819085
"(np.float64(-11.367982138740683), np.float64(17.640246448703753))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,821.2519280165612,0.6544427412878496,0.7223927495129875
"(np.float64(-11.36353769429624), np.float64(15.994937806728448))",1400,727,1992,859,1132,1091,1967,714,1198,993,1801,783,2608,1427,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,516.6203220533624,0.17803868893829408,0.588908166256926
"(np.float64(-11.358352509111052), np.float64(15.998764967222277))",762,493,1493,688,702,786,1477,466,721,1225,1103,677,2073,920,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,517.2776467705216,0.17906665896121418,0.5838579605092344
"(np.float64(-11.348475965901176), np.float64(16.11740694253092))",1728,480,2324,932,751,1558,1304,455,637,516,1605,515,1962,861,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,499.4067393732588,0.1511188934091126,0.46676316100482773
