coordinate,value2010,value2011,value2012,value2013,value2014,value2015,value2016,value2017,value2018,value2019,value2020,value2021,value2022,value2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.23613028688883), np.float64(17.308764967222274))",16,16,16,10,10,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,708.620171746631,0.4783013821515148,0.677478664608115
"(np.float64(-11.235142632567843), np.float64(18.033209411666718))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1040.779364597319,0.9977549857882361,0.5062981748882366
"(np.float64(-11.227241397999942), np.float64(15.686542745000056))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,648.9800200385451,0.3850319728049785,0.8661974513164076
"(np.float64(-11.22501917577772), np.float64(17.32765385611117))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Nouamlein,Kiffa,719.267182825397,0.49495191717166465,0.6993908806653623
"(np.float64(-11.223537694296239), np.float64(18.009999535123512))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1031.5418569623164,0.9833087300984805,0.5315898098494356
"(np.float64(-11.222673496765372), np.float64(18.030987189444495))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1042.2149155364157,1.0,0.5160540548910907
"(np.float64(-11.218105595530806), np.float64(15.522345214135855))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,716.3305582202671,0.4903594197592908,1.0219225418256495
"(np.float64(-11.215513002938213), np.float64(17.628271140061784))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,850.6570098326342,0.7004284494764469,0.8214909175310483
"(np.float64(-11.215019175777721), np.float64(17.670493362284002))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,870.0974456269923,0.73083075248959,0.7899906071434938
"(np.float64(-11.21255003997525), np.float64(18.025678547469187))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1041.664852798263,0.999139773705772,0.5266987328700162
"(np.float64(-11.211192015283894), np.float64(17.659382251172893))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,865.9457798046564,0.7243380892759083,0.8008143672480187
"(np.float64(-11.202426583185128), np.float64(15.68061681907413))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,658.7935787728591,0.4003790971922041,0.8705735623925246
"(np.float64(-11.201685842444386), np.float64(17.016542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,El Melgue,Kiffa,616.0353052619759,0.3335107408781969,0.43946465940366203
"(np.float64(-11.200574731333274), np.float64(17.639876078333387))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,859.7298386836189,0.7146171690520685,0.8224513404665104
"(np.float64(-11.200204360962905), np.float64(17.326542745000054))",16,16,16,16,16,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,725.9784236558401,0.505447421463833,0.7110432227105741
"(np.float64(-11.197735225160436), np.float64(17.637653856111164))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,859.4487566002376,0.7141775933778953,0.825996440108593
"(np.float64(-11.191315472074015), np.float64(15.848394596851907))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,608.1685736698327,0.32120819992092003,0.7024641115917786
"(np.float64(-11.18724139799994), np.float64(15.67987607833339))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,663.838761176773,0.408269103662372,0.8707239431480228
"(np.float64(-11.185389546148091), np.float64(15.833085954876598))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,614.6043145250421,0.33127285822713587,0.7175331088790382
"(np.float64(-11.18501917577772), np.float64(17.649135337592647))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,867.9402279144559,0.7274571456807917,0.8259878959094014
"(np.float64(-11.182426583185126), np.float64(15.691357559814866))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,661.2894953702944,0.404282384829037,0.8591142814217895
"(np.float64(-11.179957447382659), np.float64(15.690493362284004))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,662.3882230695187,0.4060006514766626,0.8599202893240471
"(np.float64(-11.177982138740681), np.float64(15.843579782037093))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,614.1940704451885,0.33063129005670017,0.7068288765894255
"(np.float64(-11.173537694296238), np.float64(15.676542745000054))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,669.4015581773776,0.4169685917706616,0.8737520223980638
"(np.float64(-11.158475965901177), np.float64(15.68456743635808))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,671.4420737067471,0.42015969160418065,0.865641383124338
"(np.float64(-11.156500657259201), np.float64(15.842839041296353))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,622.020288536094,0.34287047318837166,0.7073804736624008
"(np.float64(-11.151932756024632), np.float64(17.30864151043215))",16,16,16,10,10,10,10,10,10,16,16,16,16,16,Nouamlein,Kiffa,733.4835036887171,0.5171843866075688,0.7227059065326353
"(np.float64(-11.151685842444387), np.float64(15.689876078333386))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,671.8238155027792,0.4207566859246021,0.8603796299717575
"(np.float64(-11.150945101703645), np.float64(15.847653856111167))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,622.6721997064477,0.3438899771309993,0.702623450619988
"(np.float64(-11.149833990592533), np.float64(15.678518053642028))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,676.3983063869365,0.42791059232166817,0.8717587886781314
